Distance_(cm)	Gray_Value
1.95595	61.1006
1.95818	59.8108
1.96041	58.9505
1.96264	58.5480
1.96487	58.2147
1.96710	57.9009
1.96933	57.8664
1.97156	57.2162
1.97379	56.8754
1.97602	56.3153
1.97825	56.0586
1.98048	55.1486
1.98271	54.2808
1.98494	53.4670
1.98717	52.5225
1.98940	51.4520
1.99163	50.7417
1.99386	50.0360
1.99610	49.9279
1.99833	49.8348
2.00056	49.7748
2.00279	49.6186
2.00502	49.6126
2.00725	49.4189
2.00948	49.1096
2.01171	48.6892
2.01394	48.3003
2.01617	47.9670
2.01840	47.5330
2.02063	47.2297
2.02286	47.1922
2.02509	47.2132
2.02732	47.2913
2.02955	47.7898
2.03178	48.2673
2.03401	49.1051
2.03624	49.9429
2.03847	50.8018
2.04070	51.4354
2.04293	52.0495
2.04516	52.4024
2.04739	52.9535
2.04962	53.3243
2.05185	53.8063
2.05408	53.9489
2.05631	53.7943
2.05854	53.4850
2.06077	53.1562
2.06300	52.9309
2.06523	53.1952
2.06746	53.4399
2.06969	53.8393
2.07192	54.0330
2.07415	54.2387
2.07638	54.3994
2.07862	54.7252
2.08085	54.9444
2.08308	55.4384
2.08531	55.8303
2.08754	56.4775
2.08977	56.9685
2.09200	57.3333
2.09423	57.4084
2.09646	57.3168
2.09869	56.9745
2.10092	57.0646
2.10315	57.2297
2.10538	57.6502
2.10761	58.0270
2.10984	58.2012
2.11207	57.9700
2.11430	57.6141
2.11653	57.1652
2.11876	56.7703
2.12099	56.4399
2.12322	56.3649
2.12545	56.5480
2.12768	57.2583
2.12991	58.1201
2.13214	59.2132
2.13437	60.2312
2.13660	61.3604
2.13883	62.2132
2.14106	62.5541
2.14329	62.4474
2.14552	62.1847
2.14775	61.6877
2.14998	61.3694
2.15221	60.9715
2.15444	60.6892
2.15667	60.5661
2.15891	60.3318
2.16114	60.2012
2.16337	60.5526
2.16560	60.9099
2.16783	61.4955
2.17006	62.1186
2.17229	63.1306
2.17452	63.6997
2.17675	64.6532
2.17898	65.2477
2.18121	66.0255
2.18344	66.7072
2.18567	67.6577
2.18790	68.2838
2.19013	69.2568
2.19236	69.9985
2.19459	70.7628
2.19682	70.8979
2.19905	71.2793
2.20128	70.9685
2.20351	70.5465
2.20574	70.3018
2.20797	70.1291
2.21020	70.0721
2.21243	70.1381
2.21466	70.3318
2.21689	70.6051
2.21912	70.6066
2.22135	70.6832
2.22358	70.6757
2.22581	70.8003
2.22804	70.8303
2.23027	71.3003
2.23250	71.6441
2.23473	72.5330
2.23696	73.2553
2.23919	74.2568
2.24143	75.1892
2.24366	76.0045
2.24589	76.6051
2.24812	77.4069
2.25035	78.2973
2.25258	79.7493
2.25481	80.8934
2.25704	82.1817
2.25927	83.0120
2.26150	83.8453
2.26373	84.0691
2.26596	84.4009
2.26819	84.0105
2.27042	83.6141
2.27265	83.1201
2.27488	82.6787
2.27711	82.5435
2.27934	82.8829
2.28157	83.5811
2.28380	84.6637
2.28603	86.0255
2.28826	87.7808
2.29049	88.9970
2.29272	89.9099
2.29495	90.2312
2.29718	90.0826
2.29941	89.2763
2.30164	88.4459
2.30387	87.8243
2.30610	87.8513
2.30833	88.0976
2.31056	88.4895
2.31279	88.7553
2.31502	89.2057
2.31725	89.5465
2.31948	90.4775
2.32171	91.4504
2.32395	92.6186
2.32618	93.5556
2.32841	94.0781
2.33064	94.0631
2.33287	93.8694
2.33510	93.0781
2.33733	92.3994
2.33956	91.4610
2.34179	91.2087
2.34402	91.4294
2.34625	92.4760
2.34848	93.7838
2.35071	94.5961
2.35294	94.4384
2.35517	93.5871
2.35740	92.6306
2.35963	92.0526
2.36186	91.7282
2.36409	91.6261
2.36632	91.2613
2.36855	90.6967
2.37078	89.6862
2.37301	89.1471
2.37524	88.9640
2.37747	88.7973
2.37970	89.2222
2.38193	89.3183
2.38416	88.5285
2.38639	87.9655
2.38862	87.4084
2.39085	87.4474
2.39308	88.0886
2.39531	89.3604
2.39754	90.7207
2.39977	91.4880
2.40200	92.3048
2.40424	92.5465
2.40647	92.3438
2.40870	91.4685
2.41093	90.3619
2.41316	89.4655
2.41539	88.7447
2.41762	88.2072
2.41985	87.7477
2.42208	87.3604
2.42431	87.0766
2.42654	86.9249
2.42877	86.9459
2.43100	86.8408
2.43323	86.8228
2.43546	86.8063
2.43769	86.7538
2.43992	87.0210
2.44215	87.2477
2.44438	87.4580
2.44661	87.5450
2.44884	87.3604
2.45107	87.0946
2.45330	86.6877
2.45553	86.0736
2.45776	85.2718
2.45999	84.3739
2.46222	83.2928
2.46445	82.0090
2.46668	80.2763
2.46891	78.4955
2.47114	76.2417
2.47337	73.9009
2.47560	71.6607
2.47783	68.9264
2.48006	66.1577
2.48229	64.3559
2.48452	63.3318
2.48676	63.3844
2.48899	63.9700
2.49122	64.3498
2.49345	64.2763
2.49568	63.9760
2.49791	63.3153
2.50014	62.0676
2.50237	60.4384
2.50460	58.8814
2.50683	57.1772
2.50906	55.8529
2.51129	54.6877
2.51352	54.0826
2.51575	53.7553
2.51798	54.0526
2.52021	54.6336
2.52244	54.9775
2.52467	55.1456
2.52690	55.1156
2.52913	54.7613
2.53136	54.0916
2.53359	53.3799
2.53582	52.4835
2.53805	51.5480
2.54028	50.5255
2.54251	49.5495
2.54474	48.9114
2.54697	48.7387
2.54920	48.7928
2.55143	49.2523
2.55366	49.9835
2.55589	50.9775
2.55812	52.3183
2.56035	53.3574
2.56258	53.6922
2.56481	53.4399
2.56704	52.8213
2.56928	52.2538
2.57151	51.4474
2.57374	51.0916
2.57597	50.9985
2.57820	51.4294
2.58043	52.3874
2.58266	54.0811
2.58489	55.6321
2.58712	57.5856
2.58935	59.2688
2.59158	60.7297
2.59381	61.5015
2.59604	61.7508
2.59827	61.5405
2.60050	61.0721
2.60273	60.5811
2.60496	59.8514
2.60719	59.2297
2.60942	58.8799
2.61165	58.5631
2.61388	58.3589
2.61611	58.1937
2.61834	57.9940
2.62057	58.0646
2.62280	57.9790
2.62503	57.9339
2.62726	58.0075
2.62949	57.8168
2.63172	57.8258
2.63395	57.8138
2.63618	57.8378
2.63841	57.7898
2.64064	57.9144
2.64287	57.8724
2.64510	57.8138
2.64734	57.5285
2.64957	57.0255
2.65180	56.3769
2.65403	56.1456
2.65626	56.3033
2.65849	56.9339
2.66072	57.7763
2.66295	59.0946
2.66518	60.3453
2.66741	61.7222
2.66964	62.5571
2.67187	62.9805
2.67410	62.6321
2.67633	61.9474
2.67856	61.1441
2.68079	60.1261
2.68302	59.2748
2.68525	59.1126
2.68748	59.0736
2.68971	59.5916
2.69194	60.3123
2.69417	61.5931
2.69640	62.5616
2.69863	63.7853
2.70086	64.6997
2.70309	65.4069
2.70532	65.8228
2.70755	66.3063
2.70978	66.4504
2.71201	66.5901
2.71424	66.6712
2.71647	67.0120
2.71870	67.1276
2.72093	67.5871
2.72316	67.9940
2.72539	68.5165
2.72762	68.9069
2.72986	69.6231
2.73209	70.1216
2.73432	70.5420
2.73655	70.8258
2.73878	71.3619
2.74101	71.5015
2.74324	72.0841
2.74547	72.2913
2.74770	72.5450
2.74993	72.8634
2.75216	73.3063
2.75439	73.7973
2.75662	74.2988
2.75885	74.4985
2.76108	74.8498
2.76331	74.7282
2.76554	74.6937
2.76777	74.3859
2.77000	74.3243
2.77223	74.0090
2.77446	73.7823
2.77669	73.7898
2.77892	74.1892
2.78115	74.7027
2.78338	75.7102
2.78561	76.5210
2.78784	77.2462
2.79007	77.5195
2.79230	77.5315
2.79453	77.0721
2.79676	76.7177
2.79899	76.1246
2.80122	75.7477
2.80345	75.3348
2.80568	75.4399
2.80791	75.5991
2.81014	76.2207
2.81238	76.8559
2.81461	78.0886
2.81684	79.1547
2.81907	80.4895
2.82130	81.6396
2.82353	83.3964
2.82576	84.5916
2.82799	85.8078
2.83022	87.0120
2.83245	88.3363
2.83468	88.9955
2.83691	89.7297
2.83914	89.9940
2.84137	90.4189
2.84360	90.6201
2.84583	90.8423
2.84806	90.7598
2.85029	91.1577
2.85252	91.7568
2.85475	92.4204
2.85698	92.8739
2.85921	93.4910
2.86144	93.9444
2.86367	94.4294
2.86590	94.6997
2.86813	94.8273
2.87036	94.7147
2.87259	94.7297
2.87482	94.5901
2.87705	94.5541
2.87928	94.5240
2.88151	94.4715
2.88374	94.2523
2.88597	94.0465
2.88820	93.6471
2.89043	93.2432
2.89267	92.8048
2.89490	92.4520
2.89713	91.9324
2.89936	91.2868
2.90159	90.6487
2.90382	90.0420
2.90605	89.4535
2.90828	88.9565
2.91051	88.5646
2.91274	88.3273
2.91497	88.3333
2.91720	88.6637
2.91943	89.0796
2.92166	89.5405
2.92389	89.9204
2.92612	90.5195
2.92835	90.8018
2.93058	90.8874
2.93281	90.7252
2.93504	90.4504
2.93727	90.1667
2.93950	89.7703
2.94173	89.3964
2.94396	88.9294
2.94619	88.4204
2.94842	87.8544
2.95065	87.3799
2.95288	87.0195
2.95511	86.8063
2.95734	86.6006
2.95957	86.2417
2.96180	86.2162
2.96403	86.0225
2.96626	85.9219
2.96849	86.0240
2.97072	85.8303
2.97295	85.8303
2.97519	85.1787
2.97742	83.8438
2.97965	82.1967
2.98188	81.1592
2.98411	80.7928
2.98634	81.2417
2.98857	82.0330
2.99080	82.3829
2.99303	82.6081
2.99526	82.4700
2.99749	82.0646
2.99972	81.5676
3.00195	80.8589
3.00418	80.2087
3.00641	79.2958
3.00864	78.5946
3.01087	77.8243
3.01310	77.1802
3.01533	76.5300
3.01756	75.8769
3.01979	75.2507
3.02202	74.4159
3.02425	73.3363
3.02648	72.1937
3.02871	71.2267
3.03094	70.6637
3.03317	70.2823
3.03540	69.9925
3.03763	69.3649
3.03986	68.4880
3.04209	67.3018
3.04432	66.2568
3.04655	65.3393
3.04878	64.3228
3.05101	63.2913
3.05324	62.2222
3.05547	60.7523
3.05771	59.2838
3.05994	57.8889
3.06217	56.7583
3.06440	55.4775
3.06663	54.6036
3.06886	53.7613
3.07109	52.8228
3.07332	51.8288
3.07555	51.1502
3.07778	50.5090
3.08001	50.2477
3.08224	49.9249
3.08447	49.6111
3.08670	49.1426
3.08893	48.5150
3.09116	47.8889
3.09339	47.1952
3.09562	46.2658
3.09785	45.2027
